../results/qa194_exp_rank_mutator001-01.csv,../results/qa194_exp_rank_mutator001-02.csv,avg
5832.511480000015,5986.7114880000145,5909.611484000015
5730.644808000012,5905.244848000014,5817.944828000012
5665.644816000014,5785.044800000015,5725.344808000014
5640.755928000012,5732.222576000016,5686.489252000014
5612.4670400000105,5713.622568000015,5663.044804000013
5499.933728000009,5654.378128000016,5577.155928000013
5487.13372800001,5623.133672000016,5555.133700000013
5478.08928000001,5621.889232000015,5549.989256000013
5467.42260800001,5574.822544000016,5521.1225760000125
5433.622584000009,5543.400344000016,5488.511464000012
5409.00036000001,5522.8670080000165,5465.933684000013
5407.11147200001,5490.0003280000155,5448.555900000012
5388.95590400001,5428.955880000014,5408.955892000013
5388.95590400001,5421.5559040000135,5405.255904000012
5367.48922400001,5375.289216000013,5371.389220000012
5343.133656000009,5333.422544000014,5338.278100000011
5328.91144000001,5328.689216000014,5328.800328000012
5325.511424000009,5303.289208000016,5314.400316000012
5325.511424000009,5298.689208000016,5312.100316000013
5300.755880000011,5276.444776000016,5288.600328000013
5300.755880000011,5268.444776000016,5284.600328000013
5280.400320000011,5238.066992000017,5259.233656000014
5267.711400000011,5238.066984000016,5252.889192000013
5235.444720000009,5209.644736000017,5222.544728000013
5224.289152000009,5209.644736000017,5216.9669440000125
5214.13361600001,5209.644736000017,5211.889176000013
5212.80027200001,5209.644736000017,5211.222504000014
5174.822488000009,5205.933648000017,5190.378068000013
5171.422496000009,5205.933648000017,5188.678072000013
5160.71138400001,5203.044752000016,5181.878068000013
5149.86693600001,5203.044752000016,5176.455844000013
5147.266936000011,5194.378080000016,5170.822508000014
5139.822504000012,5194.378080000016,5167.100292000014
5102.17803200001,5183.466952000015,5142.822492000012
5094.51136000001,5183.466952000015,5138.989156000012
5063.178040000011,5183.466952000015,5123.322496000013
5060.355824000011,5158.289192000015,5109.322508000013
5060.355824000011,5158.289192000015,5109.322508000013
5060.355824000011,5158.289192000015,5109.322508000013
5046.889168000012,5158.289192000015,5102.589180000014
5041.733600000012,5153.955864000014,5097.844732000013
5029.622504000013,5145.333656000014,5087.4780800000135
5029.622504000013,5121.5558800000135,5075.589192000013
5013.800272000013,5121.5558800000135,5067.678076000013
5013.800272000013,5120.089208000014,5066.944740000014
5013.800272000013,5120.089208000014,5066.944740000014
5009.866952000014,5116.733648000013,5063.3003000000135
5009.866952000014,5116.733648000013,5063.3003000000135
4995.155848000014,5116.733648000013,5055.9447480000135
4995.155848000014,5116.733648000013,5055.9447480000135
4995.155848000014,5115.933664000014,5055.544756000014
4976.378072000014,5089.667016000015,5033.022544000014
4966.889176000014,5071.133688000015,5019.011432000015
4966.889176000014,5063.267032000015,5015.078104000015
4955.244768000015,5063.267032000015,5009.255900000015
4955.244768000015,5063.267032000015,5009.255900000015
4955.244768000015,5052.667016000015,5003.9558920000145
4949.311440000015,5052.667016000015,5000.989228000015
4943.4892160000145,5052.667016000015,4998.078116000015
4943.4892160000145,5052.667016000015,4998.078116000015
4938.711448000015,5047.311464000015,4993.011456000015
4938.711448000015,5044.067024000015,4991.389236000015
4933.755896000014,5001.978104000014,4967.867000000015
4933.755896000014,4990.533656000014,4962.144776000014
4933.755896000014,4980.5558720000145,4957.155884000014
4933.755896000014,4980.5558720000145,4957.155884000014
4933.755896000014,4978.466984000014,4956.111440000014
4891.200344000015,4978.466984000014,4934.833664000014
4875.689208000015,4978.466984000014,4927.078096000015
4875.689208000015,4978.466984000014,4927.078096000015
4875.689208000015,4978.466984000014,4927.078096000015
4868.689216000015,4978.466984000014,4923.578100000015
4868.689216000015,4962.000328000014,4915.344772000015
4868.689216000015,4957.933656000013,4913.3114360000145
4868.689216000015,4950.889208000013,4909.789212000014
4859.444752000014,4936.066968000013,4897.755860000014
4859.444752000014,4935.666968000013,4897.555860000013
4859.444752000014,4935.666968000013,4897.555860000013
4859.022536000013,4935.666968000013,4897.344752000014
4859.022536000013,4935.466960000013,4897.244748000014
4855.400304000013,4935.466960000013,4895.433632000013
4855.400304000013,4935.466960000013,4895.433632000013
4855.400304000013,4924.7558480000125,4890.0780760000125
4855.400304000013,4903.844736000013,4879.6225200000135
4855.400304000013,4903.844736000013,4879.6225200000135
4855.400304000013,4903.844736000013,4879.6225200000135
4812.111416000012,4903.844736000013,4857.978076000012
4807.889200000012,4881.755848000011,4844.822524000012
4807.889200000012,4881.755848000011,4844.822524000012
4807.889200000012,4881.755848000011,4844.822524000012
4807.889200000012,4881.755848000011,4844.822524000012
4807.133632000012,4880.26695200001,4843.70029200001
4794.0447520000125,4880.26695200001,4837.155852000011
