../results/qa194_reverse-2-01.csv,../results/qa194_reverse-2-02.csv,avg
5800.689256000013,6021.666984000015,5911.178120000014
5736.355912000013,5957.289248000018,5846.8225800000155
5658.600376000013,5946.178120000018,5802.389248000016
5594.267040000015,5876.733624000016,5735.500332000016
5583.155912000016,5835.222496000014,5709.189204000015
5573.0670240000145,5793.600280000016,5683.333652000016
5559.378112000013,5782.644752000015,5671.011432000014
5552.444784000016,5735.600288000015,5644.022536000015
5543.444784000016,5731.378080000016,5637.411432000015
5527.955912000016,5727.755864000015,5627.8558880000155
5518.533688000017,5697.333632000015,5607.933660000016
5503.333704000018,5685.222544000016,5594.278124000017
5496.933712000018,5679.822536000014,5588.378124000016
5495.578152000017,5644.555864000015,5570.067008000016
5485.644824000017,5638.333632000015,5561.989228000017
5474.622600000016,5626.222512000015,5550.422556000016
5468.778152000017,5626.222512000015,5547.500332000016
5459.244816000017,5620.822512000014,5540.033664000015
5441.467024000016,5588.778072000013,5515.122548000014
5431.689248000017,5578.911416000013,5505.300332000015
5400.200368000016,5558.867000000015,5479.5336840000155
5400.200368000016,5553.578128000016,5476.889248000016
5397.2892560000155,5520.644800000016,5458.9670280000155
5380.955920000016,5520.244800000016,5450.600360000016
5373.978120000015,5515.222576000016,5444.600348000015
5362.533672000014,5493.889232000015,5428.211452000014
5362.533672000014,5493.889232000015,5428.211452000014
5362.2003200000145,5492.933688000015,5427.567004000015
5356.2669840000135,5492.933688000015,5424.600336000014
5356.2669840000135,5486.089216000014,5421.178100000014
5350.022536000013,5482.800320000014,5416.411428000014
5350.022536000013,5482.555880000015,5416.289208000015
5338.422544000014,5475.111432000014,5406.766988000014
5338.067000000015,5471.600320000015,5404.833660000015
5324.578104000015,5457.667000000015,5391.122552000015
5320.978104000014,5424.600320000014,5372.789212000014
5291.778112000017,5410.578088000014,5351.178100000016
5291.778112000017,5409.289200000015,5350.533656000016
5285.533664000017,5388.800304000015,5337.166984000016
5274.8670160000165,5379.4002880000135,5327.133652000015
5274.8670160000165,5379.4002880000135,5327.133652000015
5274.8670160000165,5378.5558480000145,5326.7114320000155
5274.8670160000165,5373.711400000014,5324.289208000015
5274.8670160000165,5373.711400000014,5324.289208000015
5274.8670160000165,5373.711400000014,5324.289208000015
5274.8670160000165,5373.711400000014,5324.289208000015
5274.355904000017,5373.711400000014,5324.0336520000155
5265.955896000017,5373.711400000014,5319.833648000015
5236.844784000018,5367.755848000016,5302.300316000017
5236.844784000018,5364.244736000015,5300.544760000017
5234.400320000017,5364.022504000015,5299.211412000016
5230.600328000017,5364.022504000015,5297.311416000016
5230.600328000017,5364.022504000015,5297.311416000016
5230.600328000017,5364.022504000015,5297.311416000016
5230.600328000017,5364.022504000015,5297.311416000016
5229.711448000017,5347.800288000014,5288.755868000016
5210.400336000018,5342.644728000014,5276.522532000015
5209.689232000017,5336.466952000013,5273.078092000015
5209.689232000017,5320.311392000012,5265.000312000015
5209.689232000017,5318.311408000013,5264.000320000016
5209.689232000017,5318.311408000013,5264.000320000016
5209.689232000017,5311.711392000014,5260.700312000015
5199.778120000016,5311.711392000014,5255.744756000015
5190.2225680000165,5311.711392000014,5250.966980000016
5166.267016000016,5311.711392000014,5238.989204000015
5162.200344000016,5306.555824000014,5234.3780840000145
5160.111456000016,5304.844712000013,5232.478084000015
5149.955896000016,5262.266920000012,5206.111408000013
5148.533688000015,5261.8224800000135,5205.178084000014
