../results/qa194_swap-1-01.csv,../results/qa194_swap-1-02.csv,avg
5867.089248000016,5822.911392000016,5845.000320000016
5808.333720000016,5745.933616000015,5777.133668000015
5766.667048000016,5670.4891760000155,5718.578112000016
5697.355928000014,5611.933608000016,5654.644768000015
5667.311440000012,5551.511408000017,5609.411424000014
5563.755880000015,5527.333640000015,5545.544760000015
5537.889224000014,5487.933600000016,5512.911412000015
5476.333656000014,5440.266936000015,5458.300296000015
5445.3558960000155,5406.1780640000125,5425.766980000014
5418.022568000018,5394.089160000014,5406.055864000016
5369.689256000018,5358.333592000013,5364.011424000015
5365.600368000018,5355.600256000012,5360.600312000015
5326.000352000016,5325.022472000012,5325.511412000014
5326.000352000016,5323.666920000012,5324.833636000014
5284.067024000015,5323.666920000012,5303.866972000014
5284.067024000015,5311.511384000013,5297.789204000014
5266.555912000018,5311.511384000013,5289.033648000015
5266.555912000018,5246.911376000012,5256.7336440000145
5254.244800000019,5246.911376000012,5250.578088000015
5212.467024000018,5236.355816000012,5224.411420000015
5177.533672000017,5208.733608000012,5193.133640000015
5146.422568000018,5197.578056000012,5172.000312000015
5138.955872000018,5156.178040000012,5147.566956000015
5099.978080000016,5156.178040000012,5128.078060000014
5061.955848000017,5150.511368000011,5106.233608000014
5057.955848000017,5135.178032000012,5096.566940000014
5056.200296000017,5126.889128000012,5091.544712000014
5044.666968000016,5114.422472000011,5079.5447200000135
5044.089192000017,5107.35580000001,5075.722496000013
5004.578072000016,5101.155784000011,5052.866928000014
5004.578072000016,5101.155784000011,5052.866928000014
5004.578072000016,5093.489128000011,5049.033600000013
4986.533632000016,5077.7335680000115,5032.133600000014
4986.533632000016,5073.933568000011,5030.233600000014
4972.866952000015,5065.000232000011,5018.933592000013
4972.866952000015,5063.22245600001,5018.044704000013
4957.444712000015,5063.22245600001,5010.333584000013
4908.7780400000165,5063.22245600001,4986.000248000013
4908.7780400000165,5063.22245600001,4986.000248000013
4875.333624000015,5063.22245600001,4969.278040000013
4874.444736000016,5063.22245600001,4968.833596000013
4861.155872000015,5051.444664000011,4956.300268000013
4851.489208000015,5051.444664000011,4951.466936000013
4851.489208000015,5051.444664000011,4951.466936000013
4848.4891920000155,5023.133576000011,4935.811384000013
4848.4891920000155,5023.133576000011,4935.811384000013
4848.4891920000155,5023.133576000011,4935.811384000013
4848.4891920000155,5023.133576000011,4935.811384000013
4848.4891920000155,5023.133576000011,4935.811384000013
4848.4891920000155,4994.26688800001,4921.378040000012
4848.4891920000155,4992.97800000001,4920.733596000013
4848.4891920000155,4982.31132800001,4915.400260000013
4841.955864000014,4982.31132800001,4912.133596000012
4841.955864000014,4982.31132800001,4912.133596000012
4841.955864000014,4982.31132800001,4912.133596000012
4841.955864000014,4970.66687200001,4906.3113680000115
4822.955864000014,4946.911312000008,4884.933588000011
