../results/wi29_exp_rank_swap-01.csv,../results/wi29_exp_rank_swap-02.csv,avg
54024.15578400001,52689.866888000004,53357.01133600001
53335.68908,52075.155768,52705.422424
52503.15576800001,51619.800215999996,52061.477992
52228.111336,51276.422456,51752.266896
51338.71128800001,50843.911327999995,51091.311308000004
51281.377952,50696.82243199999,50989.100192
51214.155728000005,49972.911303999994,50593.533515999996
51121.489072000004,49763.68908000001,50442.589076000004
50617.86684,49500.555768,50059.211304
50185.266840000004,49376.91132800001,49781.08908400001
50107.822400000005,48950.000232000006,49528.911316000005
49921.51129600001,48782.866896,49352.189096
49914.91129600001,48483.244664000005,49199.07798000001
49619.00019200001,48309.711328000005,48964.355760000006
49434.53352800001,48273.044656,48853.789092000006
49272.28909600001,48077.511320000005,48674.90020800001
49064.13354400001,48057.511320000005,48560.82243200001
48807.82244000001,48036.26688,48422.04466000001
48718.22244000001,47906.866864,48312.54465200001
48706.22244000001,47906.755752,48306.489096000005
48623.15576800001,47846.2224,48234.689084000005
48608.22242400001,47592.244640000004,48100.233532000006
48574.33353600001,47592.244640000004,48083.289088000005
48302.95573600002,47167.044632000005,47735.00018400001
48061.22241600001,47167.044632000005,47614.133524000004
48015.55575200001,47122.33352000001,47568.94463600001
47903.40019200001,46983.133504,47443.266848
47891.933520000006,46949.800168,47420.866844000004
47600.64464000001,46949.800168,47275.22240400001
47385.689088000014,46685.222384,47035.455736
47385.689088000014,46480.24460800001,46932.96684800001
47385.689088000014,46480.24460800001,46932.96684800001
47385.689088000014,46453.711279999996,46919.700184
47385.689088000014,46426.00017600001,46905.84463200001
47384.40018400001,46426.00017600001,46905.200180000014
46995.51129600001,46426.00017600001,46710.75573600001
46995.51129600001,46325.733488000005,46660.622392000005
46995.51129600001,46325.733488000005,46660.622392000005
46995.51129600001,46325.733488000005,46660.622392000005
46957.844624000005,46325.733488000005,46641.78905600001
46957.844624000005,46325.733488000005,46641.78905600001
46909.844624000005,46325.733488000005,46617.78905600001
46860.64461600002,46325.733488000005,46593.189052000016
46766.800160000006,46325.733488000005,46546.266824000006
46487.17792800001,46325.733488000005,46406.45570800001
46487.17792800001,46310.600152,46398.88904000001
46366.44459200001,46294.600152,46330.52237200001
46366.44459200001,46294.600152,46330.52237200001
46366.44459200001,46294.600152,46330.52237200001
46324.355712000004,46201.93348,46263.144596
46324.355712000004,46201.93348,46263.144596
46324.355712000004,46201.93348,46263.144596
46324.355712000004,46201.93348,46263.144596
46324.355712000004,46201.93348,46263.144596
46323.08904800001,46201.93348,46262.511264
46323.08904800001,46201.93348,46262.511264
46323.08904800001,46201.93348,46262.511264
46323.08904800001,46199.489032,46261.28904
46235.08904800001,46115.955687999995,46175.522368000005
46160.44459200001,46115.955687999995,46138.20014
46120.511264000015,46115.955687999995,46118.23347600001
46120.511264000015,46115.955687999995,46118.23347600001
46120.511264000015,46115.955687999995,46118.23347600001
46120.511264000015,46115.955687999995,46118.23347600001
46011.822376000004,46115.955687999995,46063.889032
46011.822376000004,46115.955687999995,46063.889032
46011.822376000004,46107.91124,46059.866808000006
46011.822376000004,46104.266792,46058.044584
46011.822376000004,45962.33345600001,45987.07791600001
45961.577936000016,45962.33345600001,45961.95569600001
45961.577936000016,45909.44456,45935.51124800001
45961.577936000016,45799.755696,45880.66681600001
45814.80017600001,45501.97791200001,45658.38904400001
45753.733488000005,45501.97791200001,45627.85570000001
45751.86681600001,45501.97791200001,45626.92236400001
45751.86681600001,45501.97791200001,45626.92236400001
45751.86681600001,45501.97791200001,45626.92236400001
45751.86681600001,45501.97791200001,45626.92236400001
45751.86681600001,45453.73346400001,45602.80014000001
45751.86681600001,45453.73346400001,45602.80014000001
45751.86681600001,45453.73346400001,45602.80014000001
45751.86681600001,45453.73346400001,45602.80014000001
45746.02239200001,45083.866815999994,45414.944604000004
45746.02239200001,45034.533480000006,45390.27793600001
45712.689056,45034.533480000006,45373.61126800001
45597.86682400001,44939.666808,45268.766816
45597.86682400001,44910.333472,45254.100148000005
45597.86682400001,44910.333472,45254.100148000005
45590.06682400001,44910.333472,45250.200148
45563.777936000006,44910.333472,45237.055704
45432.800160000006,44910.333472,45171.566816000006
45334.133496,44910.333472,45122.233484
45334.133496,44910.333472,45122.233484
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45278.533504000006,44895.17793599999,45086.85572
45269.133496,44895.17793599999,45082.155715999994
45269.133496,44895.17793599999,45082.155715999994
45269.133496,44895.17793599999,45082.155715999994
45267.866824000004,44895.17793599999,45081.522379999995
45267.866824000004,44800.422399999996,45034.144612000004
45267.866824000004,44696.400184,44982.133504
45267.866824000004,44696.400184,44982.133504
45199.800144,44696.400184,44948.100164
45061.822376000004,44696.400184,44879.11128
45061.822376000004,44696.400184,44879.11128
45061.822376000004,44696.400184,44879.11128
45026.533488,44696.400184,44861.466836
45020.911264,44696.400184,44858.655724
45020.911264,44680.489056,44850.70016
45020.911264,44680.489056,44850.70016
