../results/wi29_swap-1-01.csv,../results/wi29_swap-1-02.csv,avg
53513.00021600001,53477.51132800001,53495.255772000004
53163.755760000015,52739.311352000004,52951.53355600001
52603.244672,52173.26688000001,52388.255776000005
52211.86692,51470.622416000006,51841.244668
51853.933592,51344.222432,51599.078012
50988.822472,50942.466872000005,50965.644672
50779.933584000006,50861.200192,50820.566888
50612.111352000014,50650.377976,50631.24466400001
50355.88912000001,50159.622447999995,50257.755784
50037.84468800001,49976.355791999995,50007.10024
49823.222464000006,49972.97800000001,49898.10023200001
49737.57799200001,49972.97800000001,49855.27799600001
49652.31133600001,49928.91132800001,49790.611332000015
49652.31133600001,49768.177992000004,49710.24466400001
49168.04467200001,49467.355751999996,49317.700212
48896.222456,49425.000168000006,49160.61131200001
48525.02244000001,49267.511256000005,48896.26684800001
48525.02244000001,49097.533488,48811.27796400001
48349.977984000005,49049.555720000004,48699.766852
48349.977984000005,48828.711272,48589.344628000006
48349.977984000005,48767.00016000001,48558.48907200001
48165.022416000014,48562.555704000006,48363.78906000001
48130.35575200001,48562.555704000006,48346.45572800001
48130.35575200001,48225.86684,48178.111296
48130.35575200001,47900.53348800001,48015.44462000001
47961.46685600001,47674.733496,47818.10017600001
47903.511304000014,47655.733496,47779.62240000001
47903.511304000014,47436.62240800001,47670.06685600001
47891.911296000006,47399.02240000001,47645.46684800001
47768.48905600001,47399.02240000001,47583.75572800001
47748.48905600001,47177.11131200001,47462.80018400001
47533.93350400001,47158.711328000005,47346.32241600001
47214.755719999994,46914.15577600001,47064.455748
47214.755719999994,46906.15577600001,47060.455748
47153.51128,46749.71132800002,46951.611304000005
47153.51128,46734.02244000001,46943.76686
47088.40014400001,46734.02244000001,46911.21129200001
47088.40014400001,46734.02244000001,46911.21129200001
46776.97792800001,46635.133552,46706.05574
46776.97792800001,46635.133552,46706.05574
46560.97792800001,46635.133552,46598.05574
46326.311256,46494.711336,46410.511296
46326.311256,46441.378000000004,46383.844628000006
46326.311256,46441.378000000004,46383.844628000006
46222.911264,46441.378000000004,46332.144632
46194.622384,46408.40022400001,46301.51130400001
46194.622384,46408.40022400001,46301.51130400001
46194.622384,46368.022456,46281.32242
46194.622384,46368.022456,46281.32242
46172.777936000006,46368.022456,46270.400196
46172.777936000006,46368.022456,46270.400196
45958.600152,46368.022456,46163.311304
45943.93348800001,46067.533592,46005.73354
45943.93348800001,46010.200256000004,45977.06687200001
45884.711264000005,45993.711368,45939.211316
45411.51127200001,45992.644696,45702.077984
45411.51127200001,45992.644696,45702.077984
45376.57794400001,45992.644696,45684.61132000001
