../results/wi29shuffle0-01.csv,../results/wi29shuffle0-02.csv,avg
53455.28904000001,53532.511328,53493.900184000006
52407.28905600001,51822.80020800001,52115.044632000005
51198.48905600001,50971.822424000005,51085.15574000001
50438.42236000001,50300.75574400001,50369.58905200001
49652.77794400001,49760.911304,49706.844624000005
49546.04461600001,49456.933520000006,49501.48906800001
49185.977936,48546.42242400001,48866.20018000001
48644.75572800001,48251.400184000006,48448.07795600001
48138.044632000005,47799.11128800001,47968.57796000001
47957.24461600001,47542.777976000005,47750.01129600001
47939.71128000002,47272.644648,47606.17796400001
47536.711256,47223.68908800001,47380.200172000004
47536.711256,47104.24466400001,47320.477960000004
47519.044592000006,46736.37799200001,47127.71129200001
47305.91124,46437.422416000016,46871.66682800001
47227.600144000004,46406.533528000014,46817.06683600001
47055.422368,46406.533528000014,46730.97794800001
46532.689056,46368.422416000016,46450.55573600001
46077.266808,46159.51129600001,46118.389052000006
46010.155696,45976.022408000004,45993.089052
45930.355703999994,45976.022408000004,45953.189056
45930.355703999994,45941.466856000014,45935.91128
45796.155712,45941.466856000014,45868.81128400001
45796.155712,45509.88907200001,45653.022392000006
45796.155712,45449.55573600001,45622.85572400001
45796.155712,45449.55573600001,45622.85572400001
45746.089047999994,45449.55573600001,45597.822392
45682.73348,45381.15572800001,45531.944604000004
45630.17791200001,45381.15572800001,45505.66682000001
45626.444576,45381.15572800001,45503.80015200001
45626.444576,45358.11129600002,45492.27793600001
45601.466824,45358.11129600002,45479.78906000001
45593.000152,45358.11129600002,45475.555724000005
45420.422376,45358.11129600002,45389.26683600001
45397.089047999994,45358.11129600002,45377.600172000006
45346.88904,45358.11129600002,45352.50016800001
45182.577912,45358.11129600002,45270.34460400001
44935.444568000006,45358.11129600002,45146.77793200001
44935.444568000006,45351.82239200002,45143.63348000001
44767.20012,45328.37795200002,45047.78903600001
44767.20012,45254.55573600002,45010.87792800001
44767.20012,45189.62240800001,44978.41126400001
44682.022344000005,45189.62240800001,44935.82237600001
44682.022344000005,44963.755720000016,44822.88903200001
44577.911248000004,44963.755720000016,44770.83348400001
44577.911248000004,44729.577952000014,44653.744600000005
44577.911248000004,44729.577952000014,44653.744600000005
44567.133464,44634.68906400001,44600.91126400001
44458.755696,44634.68906400001,44546.72238000001
44442.60016,44534.533512000016,44488.56683600001
44442.60016,44456.17794400001,44449.389052000006
44442.60016,44442.00016800001,44442.30016400001
44442.60016,44442.00016800001,44442.30016400001
44442.60016,44442.00016800001,44442.30016400001
44442.60016,44442.00016800001,44442.30016400001
44442.60016,44442.00016800001,44442.30016400001
44442.60016,44434.97794400001,44438.78905200001
44442.60016,44414.06684000001,44428.33350000001
44428.889048000005,44337.80017600001,44383.34461200001
44428.889048000005,44337.80017600001,44383.34461200001
44428.889048000005,44337.80017600001,44383.34461200001
44368.333488000004,44121.88907200001,44245.11128000001
44368.333488000004,44083.44464000001,44225.889064
44368.333488000004,44070.044648,44219.18906800001
44160.377928,44023.155744,44091.766836
44079.377951999995,44023.155744,44051.266848
44028.689048,43702.17796000001,43865.433504
44028.689048,43702.17796000001,43865.433504
44028.689048,43702.17796000001,43865.433504
43977.200136,43702.17796000001,43839.689048
43977.200136,43702.17796000001,43839.689048
43889.289015999995,43491.577952000014,43690.43348400001
43794.48901599999,43491.577952000014,43643.033484
43794.48901599999,43491.577952000014,43643.033484
43794.48901599999,43491.577952000014,43643.033484
43794.48901599999,43491.577952000014,43643.033484
43794.48901599999,43491.577952000014,43643.033484
43724.577912,43491.577952000014,43608.07793200001
43724.577912,43433.04461600001,43578.811264
43724.577912,43410.533512000016,43567.55571200001
43724.577912,43410.533512000016,43567.55571200001
43724.577912,43321.95574400001,43523.26682800001
43724.577912,43321.95574400001,43523.26682800001
43724.577912,43321.95574400001,43523.26682800001
43707.11126400001,43321.95574400001,43514.533504000006
43622.666816,43086.73353600001,43354.700176
43560.600152,43078.37799200001,43319.489072000004
43560.600152,43078.37799200001,43319.489072000004
43560.600152,43078.37799200001,43319.489072000004
43560.600152,43078.37799200001,43319.489072000004
43560.600152,43078.37799200001,43319.489072000004
43560.600152,43078.37799200001,43319.489072000004
43560.600152,43078.37799200001,43319.489072000004
43560.600152,42914.20020000001,43237.400176
43560.600152,42914.20020000001,43237.400176
43560.600152,42841.22240800001,43200.91128
43560.600152,42841.22240800001,43200.91128
43560.600152,42841.22240800001,43200.91128
43553.000144,42841.22240800001,43197.111276
43553.000144,42841.22240800001,43197.111276
43553.000144,42841.22240800001,43197.111276
43553.000144,42835.933520000006,43194.466832000006
43553.000144,42835.933520000006,43194.466832000006
43553.000144,42835.933520000006,43194.466832000006
43510.489056,42835.933520000006,43173.211288000006
43510.489056,42835.933520000006,43173.211288000006
43510.489056,42835.933520000006,43173.211288000006
43510.489056,42835.933520000006,43173.211288000006
43510.489056,42835.933520000006,43173.211288000006
43354.289056,42835.933520000006,43095.111288
43354.289056,42835.933520000006,43095.111288
43354.289056,42835.933520000006,43095.111288
43354.289056,42835.933520000006,43095.111288
43354.289056,42835.933520000006,43095.111288
43354.289056,42835.933520000006,43095.111288
43304.066848,42835.933520000006,43070.000184000004
43304.066848,42835.933520000006,43070.000184000004
43304.066848,42670.111288,42987.089068
43304.066848,42670.111288,42987.089068
43304.066848,42670.111288,42987.089068
43304.066848,42670.111288,42987.089068
43295.155744,42670.111288,42982.633516
43295.155744,42670.111288,42982.633516
43295.155744,42670.111288,42982.633516
43295.155744,42670.111288,42982.633516
43295.155744,42670.111288,42982.633516
43295.155744,42670.111288,42982.633516
43177.177968,42670.111288,42923.644628
43047.333504,42670.111288,42858.722396
43047.333504,42670.111288,42858.722396
43047.333504,42670.111288,42858.722396
43047.333504,42670.111288,42858.722396
43047.333504,42670.111288,42858.722396
43047.333504,42670.111288,42858.722396
42957.93348800001,42670.111288,42814.022388000005
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42519.06684000001,42738.50016400001
42957.93348800001,42515.355736000005,42736.644612000004
42957.93348800001,42515.355736000005,42736.644612000004
42957.93348800001,42515.355736000005,42736.644612000004
42957.93348800001,42515.355736000005,42736.644612000004
42957.93348800001,42515.355736000005,42736.644612000004
42957.93348800001,42515.355736000005,42736.644612000004
42858.155696,42515.355736000005,42686.755716
42858.155696,42515.355736000005,42686.755716
42858.155696,42515.355736000005,42686.755716
42858.155696,42515.355736000005,42686.755716
42858.155696,42508.53352800001,42683.344612
42858.155696,42508.53352800001,42683.344612
42858.155696,42455.911296000006,42657.033496000004
42858.155696,42346.533504000006,42602.344600000004
42858.155696,42346.533504000006,42602.344600000004
42858.155696,42346.533504000006,42602.344600000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
